Epoch 0, Training loss 0.37719111469003463, Val loss 0.6912542783444927, Val accuracy 57.93199342687397 %
Epoch 1, Training loss 0.3467829530878413, Val loss 0.3460293568430408, Val accuracy 84.50259132852989 %
Epoch 2, Training loss 0.33497931093217864, Val loss 0.3363702515921285, Val accuracy 84.73012261408167 %
Epoch 3, Training loss 0.3316418548384982, Val loss 0.33455313453751223, Val accuracy 84.91973201870813 %
Epoch 4, Training loss 0.32682768159335657, Val loss 0.33455916878677183, Val accuracy 85.00821640753381 %
Epoch 5, Training loss 0.32575815158986277, Val loss 0.3317783482132419, Val accuracy 85.159903931235 %
Epoch 6, Training loss 0.320051581268349, Val loss 0.32956268974850256, Val accuracy 85.17254455821009 %
Epoch 7, Training loss 0.31857726080042703, Val loss 0.32671567509251254, Val accuracy 85.0840601693844 %
Epoch 8, Training loss 0.31479775671276355, Val loss 0.32446922001338774, Val accuracy 85.17254455821009 %
Epoch 9, Training loss 0.3142018198005615, Val loss 0.322029726880212, Val accuracy 85.26102894703577 %
Epoch 10, Training loss 0.31266128037485386, Val loss 0.3217839853417489, Val accuracy 85.34951333586146 %
Epoch 11, Training loss 0.3081967681646347, Val loss 0.31673965338737736, Val accuracy 85.51384148653773 %
Epoch 12, Training loss 0.30169018397047637, Val loss 0.3188264112799398, Val accuracy 85.62760712931362 %
Epoch 13, Training loss 0.3003587299176762, Val loss 0.31698369595312303, Val accuracy 85.62760712931362 %
Epoch 14, Training loss 0.3006268442277947, Val loss 0.31088171827216304, Val accuracy 85.69081026418911 %
Epoch 15, Training loss 0.2962727076223781, Val loss 0.3099796899384068, Val accuracy 85.74137277208949 %
Epoch 16, Training loss 0.2949723080401459, Val loss 0.3107839385347982, Val accuracy 85.89306029579068 %
Epoch 17, Training loss 0.29180000440007253, Val loss 0.30808271683992877, Val accuracy 86.07002907344204 %
Epoch 18, Training loss 0.291061871474789, Val loss 0.3061386096862055, Val accuracy 85.98154468461635 %
Epoch 19, Training loss 0.2840502663485466, Val loss 0.3085190028913559, Val accuracy 86.14587283529264 %
Epoch 20, Training loss 0.2859589517597229, Val loss 0.3055436611175537, Val accuracy 86.322841612944 %
Epoch 21, Training loss 0.2846859784256066, Val loss 0.3050852333826403, Val accuracy 86.17115408924283 %
Epoch 22, Training loss 0.2822870415064596, Val loss 0.30719809786927316, Val accuracy 86.27227910504361 %
Epoch 23, Training loss 0.2805971371070031, Val loss 0.30108738546409913, Val accuracy 86.56301352547086 %
Epoch 24, Training loss 0.27780847533816294, Val loss 0.3005102332080564, Val accuracy 86.3734041208444 %
Epoch 25, Training loss 0.27733051230109507, Val loss 0.30093958084621736, Val accuracy 86.9043104537985 %
Epoch 26, Training loss 0.27756729379536643, Val loss 0.30442212570098137, Val accuracy 86.67677916824674 %
Epoch 27, Training loss 0.2751654288581302, Val loss 0.2982766983970519, Val accuracy 86.80318543799773 %
Epoch 28, Training loss 0.2744604755313166, Val loss 0.30397629809956395, Val accuracy 86.68941979522184 %
Epoch 29, Training loss 0.27000574752568235, Val loss 0.3003013893481224, Val accuracy 87.00543546959929 %
Epoch 30, Training loss 0.2712138231483198, Val loss 0.29826119782463195, Val accuracy 87.05599797749969 %
Epoch 31, Training loss 0.2703177041464275, Val loss 0.30210439452240545, Val accuracy 87.11920111237518 %
Epoch 32, Training loss 0.2679447277539199, Val loss 0.299734357864626, Val accuracy 86.9422323347238 %
Epoch 33, Training loss 0.26152298425234133, Val loss 0.2960703336904126, Val accuracy 87.15712299330046 %
Epoch 34, Training loss 0.2646318901210062, Val loss 0.294401905469356, Val accuracy 87.47313866767792 %
Epoch 35, Training loss 0.2642288178566002, Val loss 0.29620069553775175, Val accuracy 87.34673239792694 %
Epoch 36, Training loss 0.26276510292964594, Val loss 0.2987698448761817, Val accuracy 87.25824800910125 %
Epoch 37, Training loss 0.2615502952567993, Val loss 0.2973095548729743, Val accuracy 87.49841992162811 %
Epoch 38, Training loss 0.2608325756004741, Val loss 0.29412973744253956, Val accuracy 87.49841992162811 %
Epoch 39, Training loss 0.2598421052098274, Val loss 0.2990453240852202, Val accuracy 87.42257615977752 %
Epoch 40, Training loss 0.2606889251018724, Val loss 0.2958974516199481, Val accuracy 87.5616230565036 %
Epoch 41, Training loss 0.2577028309385623, Val loss 0.29269424080848694, Val accuracy 87.34673239792694 %
Epoch 42, Training loss 0.2553358505810461, Val loss 0.2921504351881243, Val accuracy 87.52370117557831 %
Epoch 43, Training loss 0.2518314974562776, Val loss 0.29827602712377427, Val accuracy 87.66274807230438 %
Epoch 44, Training loss 0.250996595068324, Val loss 0.2953853700910845, Val accuracy 87.87763873088105 %
Epoch 45, Training loss 0.2523846145599119, Val loss 0.2906372785087555, Val accuracy 87.99140437365693 %
Epoch 46, Training loss 0.2489878987112353, Val loss 0.29222486168146133, Val accuracy 87.66274807230438 %
Epoch 47, Training loss 0.25276740297915473, Val loss 0.29796353727579117, Val accuracy 87.81443559600557 %
Epoch 48, Training loss 0.24744256399571896, Val loss 0.2921733353887835, Val accuracy 87.90291998483124 %
Epoch 49, Training loss 0.2480434672005715, Val loss 0.29183443924111707, Val accuracy 87.72595120717988 %
Epoch 50, Training loss 0.24948376651492812, Val loss 0.29052848440985524, Val accuracy 88.09252938945772 %
Epoch 51, Training loss 0.24796087408979092, Val loss 0.29210784021885167, Val accuracy 87.82707622298066 %
Epoch 52, Training loss 0.24456001343505998, Val loss 0.29137922198541705, Val accuracy 87.92820123878144 %
Epoch 53, Training loss 0.2424963388832346, Val loss 0.29388315783393, Val accuracy 87.99140437365693 %
Epoch 54, Training loss 0.24547392018740216, Val loss 0.28957111051967066, Val accuracy 88.09252938945772 %
Epoch 55, Training loss 0.24121584247557387, Val loss 0.28889522749570107, Val accuracy 88.26949816710909 %
Epoch 56, Training loss 0.24388802183731909, Val loss 0.29023915769592407, Val accuracy 88.05460750853243 %
Epoch 57, Training loss 0.24163912308792915, Val loss 0.2942220316298546, Val accuracy 88.09252938945772 %
Epoch 58, Training loss 0.24159601871525088, Val loss 0.2892891767044221, Val accuracy 88.43382631778536 %
Epoch 59, Training loss 0.2428884598156137, Val loss 0.2890761898409936, Val accuracy 88.1557325243332 %
Epoch 60, Training loss 0.23751384284227126, Val loss 0.29354012156686476, Val accuracy 88.02932625458223 %
Epoch 61, Training loss 0.2378154141648162, Val loss 0.29907331543584026, Val accuracy 88.34534192895967 %
