Epoch 0, Training loss 0.3654499664628433, Val loss 0.6905814380180545, Val accuracy 60.53742802303263 %
Epoch 1, Training loss 0.31920851895048574, Val loss 0.31020708927294105, Val accuracy 85.56621880998081 %
Epoch 2, Training loss 0.31413680059046833, Val loss 0.30529386495671623, Val accuracy 85.70057581573896 %
Epoch 3, Training loss 0.3106917638354506, Val loss 0.3069440664314642, Val accuracy 85.62380038387715 %
Epoch 4, Training loss 0.3083874772479929, Val loss 0.3041439801454544, Val accuracy 85.5278310940499 %
Epoch 5, Training loss 0.3055031039049289, Val loss 0.3053772307750655, Val accuracy 85.70057581573896 %
Epoch 6, Training loss 0.30316299903977867, Val loss 0.30237493318755454, Val accuracy 85.81573896353167 %
Epoch 7, Training loss 0.3016821806050517, Val loss 0.305219779654247, Val accuracy 85.83493282149712 %
Epoch 8, Training loss 0.3000176048900452, Val loss 0.30378458776125095, Val accuracy 85.64299424184262 %
Epoch 9, Training loss 0.29550624789635827, Val loss 0.30431720141957447, Val accuracy 85.62380038387715 %
Epoch 10, Training loss 0.29483628464988404, Val loss 0.3048731357586093, Val accuracy 85.75815738963531 %
Epoch 11, Training loss 0.2932120786488422, Val loss 0.30503248695920154, Val accuracy 85.70057581573896 %
Epoch 12, Training loss 0.2909159090804176, Val loss 0.3033793881172087, Val accuracy 85.93090211132437 %
Epoch 13, Training loss 0.2877332625762085, Val loss 0.3035978965642976, Val accuracy 85.89251439539348 %
Epoch 14, Training loss 0.2874748733328895, Val loss 0.30641394562837554, Val accuracy 85.77735124760076 %
Epoch 15, Training loss 0.28413247019966686, Val loss 0.30753024540296414, Val accuracy 85.68138195777351 %
Epoch 16, Training loss 0.28511493273673616, Val loss 0.3073643289688157, Val accuracy 85.85412667946257 %
Epoch 17, Training loss 0.2827362183230055, Val loss 0.3095627979534428, Val accuracy 85.73896353166987 %
Epoch 18, Training loss 0.27552450160307385, Val loss 0.30960488246708384, Val accuracy 85.64299424184262 %
Epoch 19, Training loss 0.2761709766885254, Val loss 0.3146784392798819, Val accuracy 85.91170825335892 %
Epoch 20, Training loss 0.27441721450697426, Val loss 0.308375581372075, Val accuracy 85.85412667946257 %
Epoch 21, Training loss 0.2726513751628209, Val loss 0.31414920164317617, Val accuracy 85.79654510556622 %
Epoch 22, Training loss 0.2736446774261861, Val loss 0.31280645800799856, Val accuracy 85.71976967370442 %
Epoch 23, Training loss 0.2726441931687981, Val loss 0.31425888109497907, Val accuracy 85.64299424184262 %
Epoch 24, Training loss 0.274134640313365, Val loss 0.3201511636739824, Val accuracy 85.6046065259117 %
Epoch 25, Training loss 0.26888026863885073, Val loss 0.31945690294591395, Val accuracy 85.73896353166987 %
Epoch 26, Training loss 0.2666062899162433, Val loss 0.32343775470082353, Val accuracy 85.71976967370442 %
