Epoch 0, Training loss 0.6521848844630378, Val loss 0.7381816591535296, Val accuracy 33.88101983002833 %
Epoch 1, Training loss 0.6039596434150424, Val loss 0.6112528741359711, Val accuracy 66.68555240793201 %
Epoch 2, Training loss 0.5942815936037472, Val loss 0.5886337373937879, Val accuracy 68.95184135977337 %
Epoch 3, Training loss 0.5906332965408053, Val loss 0.5850861583437238, Val accuracy 69.40509915014164 %
Epoch 4, Training loss 0.5891818244542394, Val loss 0.5830369549138206, Val accuracy 69.40509915014164 %
Epoch 5, Training loss 0.5862009514655385, Val loss 0.5813408962317875, Val accuracy 69.40509915014164 %
Epoch 6, Training loss 0.5855664376701627, Val loss 0.5798072006021228, Val accuracy 69.91501416430594 %
Epoch 7, Training loss 0.5816012546420097, Val loss 0.5773589760065079, Val accuracy 69.91501416430594 %
Epoch 8, Training loss 0.5830703446907657, Val loss 0.5792718274252755, Val accuracy 69.74504249291785 %
Epoch 9, Training loss 0.5810693257621357, Val loss 0.5772804745606014, Val accuracy 69.63172804532577 %
Epoch 10, Training loss 0.58005120073046, Val loss 0.5771940989153725, Val accuracy 70.19830028328612 %
Epoch 11, Training loss 0.5782437340489456, Val loss 0.5776042725358691, Val accuracy 69.57507082152975 %
Epoch 12, Training loss 0.5864301275994096, Val loss 0.5766575421605792, Val accuracy 69.63172804532577 %
Epoch 13, Training loss 0.583645333136831, Val loss 0.5777129190308707, Val accuracy 69.80169971671388 %
Epoch 14, Training loss 0.5740558010126863, Val loss 0.5761250917400632, Val accuracy 70.25495750708215 %
Epoch 15, Training loss 0.5788572717990194, Val loss 0.5739135231290545, Val accuracy 69.68838526912181 %
Epoch 16, Training loss 0.5780767665377685, Val loss 0.573924890586308, Val accuracy 70.02832861189802 %
Epoch 17, Training loss 0.5765519525323596, Val loss 0.5739559148039136, Val accuracy 69.91501416430594 %
Epoch 18, Training loss 0.5751430445483753, Val loss 0.574176481791905, Val accuracy 69.40509915014164 %
Epoch 19, Training loss 0.5779432909829276, Val loss 0.5738283012594495, Val accuracy 70.14164305949008 %
Epoch 20, Training loss 0.5771631358989647, Val loss 0.574855238199234, Val accuracy 70.42492917847025 %
Epoch 21, Training loss 0.5735455692878791, Val loss 0.5743819177150726, Val accuracy 70.25495750708215 %
Epoch 22, Training loss 0.572548009455204, Val loss 0.5724168803010669, Val accuracy 70.65155807365439 %
Epoch 23, Training loss 0.5755812169185707, Val loss 0.5734229598726545, Val accuracy 70.76487252124646 %
Epoch 24, Training loss 0.5733689761587552, Val loss 0.5740708581038884, Val accuracy 71.04815864022663 %
Epoch 25, Training loss 0.5717970851276603, Val loss 0.572589099407196, Val accuracy 70.65155807365439 %
Epoch 26, Training loss 0.5748630011720317, Val loss 0.5741323786122459, Val accuracy 70.48158640226629 %
Epoch 27, Training loss 0.5716958184327398, Val loss 0.5719503334590367, Val accuracy 70.48158640226629 %
Epoch 28, Training loss 0.5708165232624326, Val loss 0.5731140502861568, Val accuracy 70.53824362606233 %
Epoch 29, Training loss 0.5731862128845283, Val loss 0.5714532520089831, Val accuracy 70.53824362606233 %
Epoch 30, Training loss 0.571220009454659, Val loss 0.5741027891635895, Val accuracy 70.59490084985836 %
Epoch 31, Training loss 0.5720335144017424, Val loss 0.5728391323770795, Val accuracy 70.53824362606233 %
Epoch 32, Training loss 0.5713598313076156, Val loss 0.5752556834902082, Val accuracy 70.53824362606233 %
Epoch 33, Training loss 0.5717250938926425, Val loss 0.5713854346956525, Val accuracy 70.53824362606233 %
Epoch 34, Training loss 0.5681691627417292, Val loss 0.5729218593665532, Val accuracy 70.70821529745042 %
Epoch 35, Training loss 0.5706229082175663, Val loss 0.5728225409984589, Val accuracy 70.65155807365439 %
Epoch 36, Training loss 0.5714333525725773, Val loss 0.5729293099471501, Val accuracy 70.70821529745042 %
Epoch 37, Training loss 0.5716995623494897, Val loss 0.5726243810994285, Val accuracy 70.70821529745042 %
Epoch 38, Training loss 0.5705131255090237, Val loss 0.5719147196837834, Val accuracy 70.42492917847025 %
Epoch 39, Training loss 0.5704038478434086, Val loss 0.5727892305169787, Val accuracy 70.59490084985836 %
Epoch 40, Training loss 0.5713834821113518, Val loss 0.5706662961414882, Val accuracy 70.9915014164306 %
Epoch 41, Training loss 0.5702569596469402, Val loss 0.571146526506969, Val accuracy 70.87818696883852 %
Epoch 42, Training loss 0.5655869096517563, Val loss 0.5730440701757159, Val accuracy 70.8215297450425 %
Epoch 43, Training loss 0.5707944269691195, Val loss 0.5714073990072522, Val accuracy 70.42492917847025 %
Epoch 44, Training loss 0.5659276896289417, Val loss 0.5717124938964844, Val accuracy 71.04815864022663 %
Epoch 45, Training loss 0.5691187887319497, Val loss 0.570739575794765, Val accuracy 70.36827195467423 %
Epoch 46, Training loss 0.5655858633773667, Val loss 0.5717270289148603, Val accuracy 70.59490084985836 %
Epoch 47, Training loss 0.5686393183256898, Val loss 0.5727550387382507, Val accuracy 70.70821529745042 %
Epoch 48, Training loss 0.5651313327252865, Val loss 0.5726331302097866, Val accuracy 70.93484419263456 %
Epoch 49, Training loss 0.5629425394747939, Val loss 0.5724453628063202, Val accuracy 71.04815864022663 %
Epoch 50, Training loss 0.5695820381598813, Val loss 0.5713954610483987, Val accuracy 70.9915014164306 %
Epoch 51, Training loss 0.5679035452859742, Val loss 0.5717277526855469, Val accuracy 70.93484419263456 %
Epoch 52, Training loss 0.5652694313653878, Val loss 0.5721787554877145, Val accuracy 70.59490084985836 %
Epoch 53, Training loss 0.5633269175887108, Val loss 0.5708696501595634, Val accuracy 70.70821529745042 %
Epoch 54, Training loss 0.5634557104536465, Val loss 0.5709428531782967, Val accuracy 70.93484419263456 %
Epoch 55, Training loss 0.5669966015432563, Val loss 0.5723523284707751, Val accuracy 71.04815864022663 %
Epoch 56, Training loss 0.5648692271539143, Val loss 0.5714580012219292, Val accuracy 70.93484419263456 %
Epoch 57, Training loss 0.5668412244745663, Val loss 0.5732497721910477, Val accuracy 70.8215297450425 %
Epoch 58, Training loss 0.5609226764312812, Val loss 0.5713462105819157, Val accuracy 70.59490084985836 %
