Epoch 0, Training loss 0.6665977239608765, Val loss 0.6899060308933258, Val accuracy 58.57142857142857 %
Epoch 1, Training loss 0.6000577688217164, Val loss 0.6456139385700226, Val accuracy 66.42857142857143 %
Epoch 2, Training loss 0.5837258398532867, Val loss 0.5933690071105957, Val accuracy 66.42857142857143 %
Epoch 3, Training loss 0.5878378689289093, Val loss 0.561228334903717, Val accuracy 66.42857142857143 %
Epoch 4, Training loss 0.5847176432609558, Val loss 0.5136260837316513, Val accuracy 66.42857142857143 %
Epoch 5, Training loss 0.5695535242557526, Val loss 0.5174722969532013, Val accuracy 66.42857142857143 %
Epoch 6, Training loss 0.5620345592498779, Val loss 0.6572507321834564, Val accuracy 66.42857142857143 %
Epoch 7, Training loss 0.5628304541110992, Val loss 0.6392362713813782, Val accuracy 67.14285714285714 %
Epoch 8, Training loss 0.5621364533901214, Val loss 0.5565089881420135, Val accuracy 67.14285714285714 %
Epoch 9, Training loss 0.5373682081699371, Val loss 0.6610150337219238, Val accuracy 67.14285714285714 %
Epoch 10, Training loss 0.554253625869751, Val loss 0.5381640940904617, Val accuracy 68.57142857142857 %
Epoch 11, Training loss 0.536198365688324, Val loss 0.5499944090843201, Val accuracy 70.71428571428571 %
Epoch 12, Training loss 0.5205090343952179, Val loss 0.5176971405744553, Val accuracy 67.85714285714286 %
Epoch 13, Training loss 0.5229656577110291, Val loss 0.7101459205150604, Val accuracy 68.57142857142857 %
Epoch 14, Training loss 0.5233014225959778, Val loss 0.572020560503006, Val accuracy 69.28571428571429 %
Epoch 15, Training loss 0.5097087383270263, Val loss 0.5528122186660767, Val accuracy 69.28571428571429 %
Epoch 16, Training loss 0.4947595477104187, Val loss 0.5396565347909927, Val accuracy 69.28571428571429 %
Epoch 17, Training loss 0.5094189822673798, Val loss 0.48145197331905365, Val accuracy 67.85714285714286 %
Epoch 18, Training loss 0.4932298958301544, Val loss 0.5220664590597153, Val accuracy 70.0 %
Epoch 19, Training loss 0.5042242228984832, Val loss 0.5192529112100601, Val accuracy 69.28571428571429 %
Epoch 20, Training loss 0.5044942200183868, Val loss 0.5109544545412064, Val accuracy 69.28571428571429 %
Epoch 21, Training loss 0.47640093564987185, Val loss 0.6350375711917877, Val accuracy 70.71428571428571 %
Epoch 22, Training loss 0.47587583065032957, Val loss 0.6849459707736969, Val accuracy 70.0 %
Epoch 23, Training loss 0.46665717363357545, Val loss 0.6683456599712372, Val accuracy 70.71428571428571 %
Epoch 24, Training loss 0.458426433801651, Val loss 0.5395080298185349, Val accuracy 70.71428571428571 %
Epoch 25, Training loss 0.4631351351737976, Val loss 0.6135343015193939, Val accuracy 70.71428571428571 %
Epoch 26, Training loss 0.46049344539642334, Val loss 0.6564759314060211, Val accuracy 70.71428571428571 %
Epoch 27, Training loss 0.45349729657173155, Val loss 0.5463523268699646, Val accuracy 68.57142857142857 %
Epoch 28, Training loss 0.4474438726902008, Val loss 0.5282773822546005, Val accuracy 70.0 %
Epoch 29, Training loss 0.43495614528656007, Val loss 0.5843144655227661, Val accuracy 70.0 %
Epoch 30, Training loss 0.43689114451408384, Val loss 0.5868550837039948, Val accuracy 67.85714285714286 %
Epoch 31, Training loss 0.4151646316051483, Val loss 0.5230763405561447, Val accuracy 67.85714285714286 %
Epoch 32, Training loss 0.4106079161167145, Val loss 0.8451271951198578, Val accuracy 70.0 %
Epoch 33, Training loss 0.43721219301223757, Val loss 0.4948931336402893, Val accuracy 70.0 %
Epoch 34, Training loss 0.4144293785095215, Val loss 0.4508207142353058, Val accuracy 67.85714285714286 %
Epoch 35, Training loss 0.412412166595459, Val loss 0.7316717505455017, Val accuracy 68.57142857142857 %
Epoch 36, Training loss 0.39554710388183595, Val loss 0.5762261748313904, Val accuracy 67.85714285714286 %
Epoch 37, Training loss 0.38710662722587585, Val loss 0.4192066788673401, Val accuracy 67.85714285714286 %
Epoch 38, Training loss 0.4109615385532379, Val loss 0.6902679204940796, Val accuracy 67.85714285714286 %
Epoch 39, Training loss 0.39074367880821226, Val loss 0.5815054029226303, Val accuracy 67.85714285714286 %
Epoch 40, Training loss 0.3882615387439728, Val loss 0.575677677989006, Val accuracy 67.14285714285714 %
Epoch 41, Training loss 0.3838187396526337, Val loss 0.6689593195915222, Val accuracy 69.28571428571429 %
Epoch 42, Training loss 0.3805833339691162, Val loss 0.5618489384651184, Val accuracy 69.28571428571429 %
Epoch 43, Training loss 0.3559227347373962, Val loss 0.5790772885084152, Val accuracy 68.57142857142857 %
Epoch 44, Training loss 0.3486444056034088, Val loss 0.7238513827323914, Val accuracy 70.0 %
Epoch 45, Training loss 0.36926616430282594, Val loss 0.5725546032190323, Val accuracy 69.28571428571429 %
Epoch 46, Training loss 0.3652980148792267, Val loss 0.7218997776508331, Val accuracy 69.28571428571429 %
Epoch 47, Training loss 0.3570618271827698, Val loss 0.7311590909957886, Val accuracy 69.28571428571429 %
Epoch 48, Training loss 0.34322226643562315, Val loss 0.6442034542560577, Val accuracy 68.57142857142857 %
Epoch 49, Training loss 0.34765766859054564, Val loss 0.573884055018425, Val accuracy 69.28571428571429 %
Epoch 50, Training loss 0.33196668028831483, Val loss 0.8793987035751343, Val accuracy 68.57142857142857 %
Epoch 51, Training loss 0.32077038288116455, Val loss 0.6838545203208923, Val accuracy 69.28571428571429 %
Epoch 52, Training loss 0.3087701976299286, Val loss 0.8087506294250488, Val accuracy 68.57142857142857 %
Epoch 53, Training loss 0.3151843249797821, Val loss 0.8659035563468933, Val accuracy 70.0 %
Epoch 54, Training loss 0.3093187391757965, Val loss 0.9610049724578857, Val accuracy 68.57142857142857 %
Epoch 55, Training loss 0.29227282106876373, Val loss 0.6017623394727707, Val accuracy 68.57142857142857 %
Epoch 56, Training loss 0.31314438581466675, Val loss 0.5418470054864883, Val accuracy 68.57142857142857 %
Epoch 57, Training loss 0.2991462767124176, Val loss 0.6148466914892197, Val accuracy 68.57142857142857 %
