Epoch 0, Training loss 0.52378751039505, Val loss 0.715909020467238, Val accuracy 48.84929472902747 %
Epoch 1, Training loss 0.47092206793672897, Val loss 0.44244877045804804, Val accuracy 79.65850037119525 %
Epoch 2, Training loss 0.46620056839550245, Val loss 0.4269324900074439, Val accuracy 79.73273942093542 %
Epoch 3, Training loss 0.46175665785284603, Val loss 0.42811894484541635, Val accuracy 80.28953229398664 %
Epoch 4, Training loss 0.46200266725876754, Val loss 0.4179319603876634, Val accuracy 80.5493689680772 %
Epoch 5, Training loss 0.45790554004556994, Val loss 0.42779701406305487, Val accuracy 80.92056421677802 %
Epoch 6, Training loss 0.4544147337184233, Val loss 0.42204296724362805, Val accuracy 80.80920564216778 %
Epoch 7, Training loss 0.45597590278176703, Val loss 0.41508752378550445, Val accuracy 80.73496659242761 %
Epoch 8, Training loss 0.45241675762569206, Val loss 0.4156186120076613, Val accuracy 80.88344469190794 %
Epoch 9, Training loss 0.4532109853099374, Val loss 0.4191781072454019, Val accuracy 81.21752041573868 %
Epoch 10, Training loss 0.44998122769243576, Val loss 0.44902617687528784, Val accuracy 81.06904231625835 %
Epoch 11, Training loss 0.45166036872302784, Val loss 0.4353948045860637, Val accuracy 81.32887899034893 %
Epoch 12, Training loss 0.4483092409722945, Val loss 0.42541697350415314, Val accuracy 81.14328136599852 %
Epoch 13, Training loss 0.4492950386860791, Val loss 0.43137936835939233, Val accuracy 81.14328136599852 %
Epoch 14, Training loss 0.44686907424646266, Val loss 0.4186266999353062, Val accuracy 81.21752041573868 %
Epoch 15, Training loss 0.4468528673929327, Val loss 0.43222789601846173, Val accuracy 80.80920564216778 %
Epoch 16, Training loss 0.4452278214342454, Val loss 0.42033781382170593, Val accuracy 80.99480326651819 %
Epoch 17, Training loss 0.44366032446131987, Val loss 0.41534668884494086, Val accuracy 81.03192279138827 %
Epoch 18, Training loss 0.44594410938375134, Val loss 0.41963980956511066, Val accuracy 81.365998515219 %
Epoch 19, Training loss 0.4442224407897276, Val loss 0.4259919077157974, Val accuracy 80.73496659242761 %
Epoch 20, Training loss 0.4473655812880572, Val loss 0.42691200294277887, Val accuracy 80.88344469190794 %
Epoch 21, Training loss 0.4463514612001531, Val loss 0.4101235737854784, Val accuracy 80.92056421677802 %
Epoch 22, Training loss 0.44131092955084406, Val loss 0.42336970974098553, Val accuracy 81.06904231625835 %
Epoch 23, Training loss 0.44099082035176895, Val loss 0.4234504740346562, Val accuracy 81.03192279138827 %
Epoch 24, Training loss 0.44296104206758385, Val loss 0.40408769114450976, Val accuracy 80.92056421677802 %
Epoch 25, Training loss 0.4392899653490852, Val loss 0.4282579774206335, Val accuracy 80.95768374164811 %
Epoch 26, Training loss 0.4416069483055788, Val loss 0.4131525456905365, Val accuracy 80.95768374164811 %
Epoch 27, Training loss 0.4387899991344003, Val loss 0.4379750828851353, Val accuracy 80.99480326651819 %
Epoch 28, Training loss 0.43622058875420516, Val loss 0.4054425704208287, Val accuracy 81.06904231625835 %
Epoch 29, Training loss 0.43734318754252266, Val loss 0.40757428719238803, Val accuracy 81.14328136599852 %
Epoch 30, Training loss 0.43967295779901394, Val loss 0.41167988695881585, Val accuracy 81.1804008908686 %
Epoch 31, Training loss 0.4376682670677409, Val loss 0.41609090295704926, Val accuracy 81.44023756495916 %
Epoch 32, Training loss 0.43701819321688484, Val loss 0.4070156636563214, Val accuracy 81.06904231625835 %
Epoch 33, Training loss 0.43438256032326644, Val loss 0.4236789115450599, Val accuracy 81.62583518930958 %
Epoch 34, Training loss 0.4308861921815311, Val loss 0.4089957001534375, Val accuracy 81.21752041573868 %
Epoch 35, Training loss 0.43633216409122244, Val loss 0.41983016377145593, Val accuracy 81.1804008908686 %
Epoch 36, Training loss 0.4348051397239461, Val loss 0.4102119261568243, Val accuracy 81.51447661469933 %
Epoch 37, Training loss 0.4344467671478496, Val loss 0.4100762117992748, Val accuracy 81.47735708982925 %
Epoch 38, Training loss 0.43486183040282306, Val loss 0.4092837097969922, Val accuracy 81.81143281365999 %
Epoch 39, Training loss 0.4286624312400818, Val loss 0.42164664647795935, Val accuracy 81.365998515219 %
Epoch 40, Training loss 0.4320916820974911, Val loss 0.4137910861860622, Val accuracy 81.32887899034893 %
Epoch 41, Training loss 0.43126291387221394, Val loss 0.40540737184611236, Val accuracy 81.365998515219 %
Epoch 42, Training loss 0.42866217809564927, Val loss 0.4093207906592976, Val accuracy 81.25463994060875 %
Epoch 43, Training loss 0.4304354292504928, Val loss 0.40568914061242883, Val accuracy 81.66295471417966 %
Epoch 44, Training loss 0.4305657998603933, Val loss 0.40229731730439444, Val accuracy 81.32887899034893 %
Epoch 45, Training loss 0.4287112947772531, Val loss 0.41109189662066375, Val accuracy 81.25463994060875 %
Epoch 46, Training loss 0.42646957074894626, Val loss 0.4124752242456783, Val accuracy 81.47735708982925 %
Epoch 47, Training loss 0.42861354736720814, Val loss 0.396181042898785, Val accuracy 81.70007423904974 %
Epoch 48, Training loss 0.4289848748375388, Val loss 0.4183168641545556, Val accuracy 81.7743132887899 %
Epoch 49, Training loss 0.42615774799795714, Val loss 0.40393218804489484, Val accuracy 81.9970304380104 %
Epoch 50, Training loss 0.42871486158931954, Val loss 0.3949263698675416, Val accuracy 81.7743132887899 %
Epoch 51, Training loss 0.4259204641861074, Val loss 0.4023144136775624, Val accuracy 81.47735708982925 %
Epoch 52, Training loss 0.42522442481097056, Val loss 0.4018187157132409, Val accuracy 81.70007423904974 %
Epoch 53, Training loss 0.42529332462479086, Val loss 0.41905878619714215, Val accuracy 81.51447661469933 %
Epoch 54, Training loss 0.4265363202375524, Val loss 0.3996368436650796, Val accuracy 81.58871566443949 %
Epoch 55, Training loss 0.425769902678097, Val loss 0.3983748602596196, Val accuracy 81.84855233853007 %
Epoch 56, Training loss 0.4246395871919744, Val loss 0.4053545025261966, Val accuracy 81.92279138827023 %
Epoch 57, Training loss 0.4269102152656106, Val loss 0.41694043983112683, Val accuracy 81.365998515219 %
Epoch 58, Training loss 0.4288301811498754, Val loss 0.41829686002297833, Val accuracy 81.66295471417966 %
Epoch 59, Training loss 0.4265642001348383, Val loss 0.4037672538648952, Val accuracy 82.03414996288048 %
Epoch 60, Training loss 0.4202682319809409, Val loss 0.39643013815988193, Val accuracy 81.92279138827023 %
Epoch 61, Training loss 0.425690758228302, Val loss 0.4002321416681463, Val accuracy 81.92279138827023 %
Epoch 62, Training loss 0.42308905019479637, Val loss 0.3945205340331251, Val accuracy 81.84855233853007 %
Epoch 63, Training loss 0.416692052693928, Val loss 0.397733829238198, Val accuracy 81.62583518930958 %
Epoch 64, Training loss 0.4208108744200538, Val loss 0.4017752016132528, Val accuracy 81.7743132887899 %
Epoch 65, Training loss 0.4205252636881436, Val loss 0.3999219252304597, Val accuracy 82.10838901262063 %
Epoch 66, Training loss 0.4204835002913195, Val loss 0.4214396273547953, Val accuracy 81.92279138827023 %
Epoch 67, Training loss 0.42114423758843367, Val loss 0.4032491459087892, Val accuracy 82.21974758723088 %
Epoch 68, Training loss 0.41867192843381096, Val loss 0.39995177090168, Val accuracy 81.88567186340015 %
Epoch 69, Training loss 0.4173596448758069, Val loss 0.3923724063418128, Val accuracy 82.1826280623608 %
Epoch 70, Training loss 0.4222356873400071, Val loss 0.4110697697509419, Val accuracy 82.29398663697104 %
Epoch 71, Training loss 0.41762656008496, Val loss 0.40295645323666657, Val accuracy 82.33110616184113 %
Epoch 72, Training loss 0.4212099829140831, Val loss 0.397469473156062, Val accuracy 82.25686711210096 %
Epoch 73, Training loss 0.4147924922844943, Val loss 0.40774866532195697, Val accuracy 81.9599109131403 %
Epoch 74, Training loss 0.4183705357944264, Val loss 0.4058357070792805, Val accuracy 82.10838901262063 %
Epoch 75, Training loss 0.4192028266542098, Val loss 0.3878022547472607, Val accuracy 82.36822568671121 %
Epoch 76, Training loss 0.41811668346909914, Val loss 0.4039344381202351, Val accuracy 82.29398663697104 %
Epoch 77, Training loss 0.4190547199810252, Val loss 0.3999241983348673, Val accuracy 82.36822568671121 %
Epoch 78, Training loss 0.4141688792144551, Val loss 0.38909760185263376, Val accuracy 82.29398663697104 %
Epoch 79, Training loss 0.41985763416570776, Val loss 0.3990919820287011, Val accuracy 82.36822568671121 %
Epoch 80, Training loss 0.4164262996000402, Val loss 0.3876452872698957, Val accuracy 82.25686711210096 %
Epoch 81, Training loss 0.4170723217375138, Val loss 0.3974910337816585, Val accuracy 82.14550853749073 %
Epoch 82, Training loss 0.4143654420095332, Val loss 0.4054970429702239, Val accuracy 82.1826280623608 %
Epoch 83, Training loss 0.41544045034576865, Val loss 0.38434993915937166, Val accuracy 82.21974758723088 %
